cidade,referencia_cidade
desterro,1188
desterro de entre rios,1189
desterro do melo,1190
dezesseis de novembro,1191
diadema,1192
diamante d'oeste,1193
diamante do norte,1194
diamantina,1195
diamantino,1196
dianopolis,1197
dias d avila,1198
dias d'avila,1199
diogo de vasconcelos,1200
dionisio,1201
dionisio cerqueira,1202
diorama,1203
divinesia,1204
divino,1205
divino das laranjeiras,1206
divino de sao lourenco,1207
divinolandia,1208
divinolandia de minas,1209
divinopolis,1210
divinopolis de goias,1211
divinopolis do tocantins,1212
divisa alegre,1213
divisa nova,1214
dobrada,1215
doce grande,1216
dois corregos,1217
dois irmaos,1218
dois irmaos do buriti,1219
dois riachos,1220
dois vizinhos,1221
dom aquino,1222
dom basilio,1223
dom cavati,1224
dom eliseu,1225
dom feliciano,1226
dom joaquim,1227
dom macedo costa,1228
dom pedrito,1229
dom pedro,1230
dom silverio,1231
dom vicoso,1232
domiciano ribeiro,1233
domingos martins,1234
dona emma,1235
dona euzebia,1236
dona francisca,1237
dores de campos,1238
dores de guanhaes,1239
dores do indaia,1240
dores do rio preto,1241
dormentes,1242
douradina,1243
dourado,1244
dourados,1245
doutor camargo,1246
doutor mauricio cardoso,1247
doutor ulysses,1248
doverlandia,1249
dracena,1250
duartina,1251
duas barras,1252
duere,1253
dumont,1254
duque de caxias,1255
durande,1256
echapora,1257
ecoporanga,1258
edeia,1259
eldorado,1260
eldorado do sul,1261
elias fausto,1262
eliseu martins,1263
elisiario,1264
elisio medrado,1265
eloi mendes,1266
embauba,1267
embu,1268
embu das artes,1269
embu guacu,1270
embu-guacu,1271
emilianopolis,1272
encantado,1273
encruzilhada do sul,1274
eneas marques,1275
engenheiro balduino,1276
engenheiro beltrao,1277
engenheiro coelho,1278
engenheiro navarro,1279
engenheiro passos,1280
engenheiro paulo de frontin,1281
entre folhas,1282
entre rios,1283
entre rios de minas,1284
entre rios do oeste,1285
entre-ijuis,1286
epitaciolandia,1287
erebango,1288
erechim,1289
erere,1290
erico cardoso,1291
erval grande,1292
ervalia,1293
escada,1294
esmeralda,1295
esmeraldas,1296
espera feliz,1297
esperanca,1298
esperantina,1299
esperantinopolis,1300
espigao,1301
espigao alto do iguacu,1302
espigao do oeste,1303
espinosa,1304
espirito santo do pinhal,1305
espirito santo do turvo,1306
esplanada,1307
espumoso,1308
estacao,1309
estancia,1310
estancia velha,1311
esteio,1312
estevao de araujo,1313
estiva,1314
estiva gerbi,1315
estreito,1316
estrela,1317
estrela d oeste,1318
estrela d'oeste,1319
estrela do indaia,1320
estrela do norte,1321
estrela do sul,1322
estrela velha,1323
euclides da cunha,1324
euclides da cunha paulista,1325
eugenio de castro,1326
eugenopolis,1327
eunapolis,1328
eusebio,1329
ewbank da camara,1330
extrema,1331
extremoz,1332
fagundes,1333
farol,1334
farroupilha,1335
fartura,1336
fatima,1337
fatima do sul,1338
faxinal,1339
faxinal dos guedes,1340
faxinalzinho,1341
fazenda nova,1342
fazenda rio grande,1343
fazenda vilanova,1344
feira de santana,1345
feira nova,1346
felicio dos santos,1347
felipe guerra,1348
felisburgo,1349
felixlandia,1350
feliz,1351
feliz deserto,1352
feliz natal,1353
fenix,1354
fernando prestes,1355
fernandopolis,1356
fernao,1357
ferraz de  vasconcelos,1358
ferraz de vasconcelos,1359
ferreiros,1360
ferros,1361
fervedouro,1362
figueira,1363
figueiropolis d'oeste,1364
filadelfia,1365
firminopolis,1366
flor da serra do sul,1367
flora rica,1368
florai,1369
florania,1370
floranopolis,1371
floreal,1372
flores,1373
flores da cunha,1374
flores de goias,1375
floresta,1376
floresta do araguaia,1377
florestal,1378
florestopolis,1379
floriano,1380
florianopolis,1381
florida,1382
florida paulista,1383
florinia,1384
fonseca,1385
fontoura xavier,1386
formiga,1387
formigueiro,1388
formosa,1389
formosa da serra negra,1390
formosa do oeste,1391
formosa do rio preto,1392
formoso,1393
formoso do araguaia,1394
forquilha,1395
forquilhinha,1396
fortaleza,1397
fortaleza dos valos,1398
fortim,1399
fortuna,1400
foz do iguacu,1401
foz do jordao,1402
fragosos,1403
fraiburgo,1404
franca,1405
francisco badaro,1406
francisco beltrao,1407
francisco dantas,1408
francisco dumont,1409
francisco morato,1410
francisco sa,1411
francisco santos,1412
franco da rocha,1413
frecheirinha,1414
frederico westphalen,1415
frei gaspar,1416
frei inocencio,1417
frei lagonegro,1418
frei martinho,1419
frei rogerio,1420
fronteira,1421
fronteiras,1422
fruta de leite,1423
frutal,1424
frutuoso gomes,1425
fundao,1426
gabriel monteiro,1427
galia,1428
galinhos,1429
galvao,1430
gama,1431
gameleira,1432
gameleiras,1433
gandu,1434
garanhuns,1435
garca,1436
garibaldi,1437
garopaba,1438
garrafao do norte,1439
garruchos,1440
garulhos,1441
garuva,1442
gaspar,1443
gastao vidigal,1444
gaucha do norte,1445
gaurama,1446
gaviao peixoto,1447
general camara,1448
general carneiro,1449
general maynard,1450
general salgado,1451
gentio do ouro,1452
getulina,1453
getulio vargas,1454
gilbues,1455
girau do ponciano,1456
girua,1457
glaura,1458
glicerio,1459
gloria de dourados,1460
gloria do goita,1461
glorinha,1462
godoy moreira,1463
goiabeira,1464
goiana,1465
goianapolis,1466
goiandira,1467
goianesia,1468
goianesia do para,1469
goiania,1470
goianinha,1471
goianira,1472
goianorte,1473
goias,1474
goiatuba,1475
goioere,1476
goitacazes,1477
goncalves,1478
goncalves dias,1479
gongogi,1480
gouveia,1481
governador celso ramos,1482
governador dix-sept rosado,1483
governador eugenio barros,1484
governador lindenberg,1485
governador mangabeira,1486
governador portela,1487
governador valadares,1488
graccho cardoso,1489
grajau,1490
gramado,1491
gramado dos loureiros,1492
gramado xavier,1493
grandes rios,1494
granja,1495
grao mogol,1496
grao para,1497
gravata,1498
gravatai,1499
gravatal,1500
groairas,1501
grupiara,1502
guabiju,1503
guabiruba,1504
guacui,1505
guadalupe,1506
guaiba,1507
guaicara,1508
guaimbe,1509
guaira,1510
guairaca,1511
guaiuba,1512
guajara-mirim,1513
guamare,1514
guamiranga,1515
guanambi,1516
guanhaes,1517
guape,1518
guapiacu,1519
guapiara,1520
guapimirim,1521
guapirama,1522
guapo,1523
guapore,1524
guara,1525
guarabira,1526
guaracai,1527
guaraci,1528
guaraciaba,1529
guaraciaba do norte,1530
guarai,1531
guaramirim,1532
guaranesia,1533
guarani,1534
guarani das missoes,1535
guaraniacu,1536
guaranta,1537
guaranta do norte,1538
guarapari,1539
guarapua,1540
guarapuava,1541
guaraquecaba,1542
guarara,1543
guararapes,1544
guararema,1545
guaratinga,1546
guaratingueta,1547
guaratuba,1548
guarda-mor,1549
guarei,1550
guariba,1551
guariroba,1552
guaruja,1553
guaruja do sul,1554
guarulhos,1555
guassusse,1556
guatapara,1557
guaxupe,1558
guia lopes da laguna,1559
guidoval,1560
guimaraes,1561
guimarania,1562
guinda,1563
guiricema,1564
gurupi,1565
guzolandia,1566
heliopolis,1567
herculandia,1568
herval,1569
herval d'oeste,1570
herveiras,1571
hidreletrica tucurui,1572
hidrolandia,1573
hidrolina,1574
holambra,1575
holambra ii,1576
horizonte,1577
horizontina,1578
hortolandia,1579
hulha negra,1580
humaita,1581
humberto de campos,1582
humildes,1583
iacanga,1584
iaciara,1585
iacri,1586
iacu,1587
iapu,1588
iaras,1589
iati,1590
ibaiti,1591
ibarama,1592
ibate,1593
ibateguara,1594
ibatiba,1595
ibema,1596
ibertioga,1597
ibia,1598
ibiaca,1599
ibiai,1600
ibiajara,1601
ibiam,1602
ibiapina,1603
ibiara,1604
ibiassuce,1605
ibicarai,1606
ibicare,1607
ibicoara,1608
ibicuitinga,1609
ibimirim,1610
ibipeba,1611
ibipitanga,1612
ibipora,1613
ibira,1614
ibiracatu,1615
ibiraci,1616
ibiracu,1617
ibiraiaras,1618
ibiraja,1619
ibirama,1620
ibirapua,1621
ibirarema,1622
ibirataia,1623
ibirite,1624
ibiruba,1625
ibitiara,1626
ibitinga,1627
ibitioca,1628
ibitira,1629
ibitita,1630
ibitiuva,1631
ibiuna,1632
ibotirama,1633
icapui,1634
icara,1635
icarai de minas,1636
icaraima,1637
icatu,1638
icem,1639
ichu,1640
